,x
897,26.0
898,28.0
899,53.0
900,34.0
901,23.0
902,67.0
903,68.0
904,55.0
905,39.0
906,53.0
907,56.0
908,67.0
909,34.0
910,39.0
911,39.0
912,45.0
913,47.0
914,48.0
915,54.0
916,56.0
917,57.0
918,57.0
919,60.0
920,60.0
921,63.0
922,64.0
923,70.0
924,48.0
925,22.0
926,28.0
927,36.0
928,40.0
929,48.0
930,53.0
931,56.0
932,57.0
933,72.0
934,21.0
935,21.0
936,22.0
937,22.0
938,24.0
939,25.0
940,25.0
941,26.0
942,26.0
943,27.0
944,27.0
945,27.0
946,31.0
947,32.0
948,32.0
949,35.0
950,35.0
951,36.0
952,41.0
953,42.0
954,42.0
955,43.0
956,44.0
957,45.0
958,48.0
959,48.0
960,51.0
961,53.0
962,53.0
963,54.0
964,57.0
965,58.0
966,60.0
967,60.0
968,61.0
969,61.0
970,61.0
971,63.0
972,63.0
973,63.0
974,64.0
975,65.0
976,66.0
977,67.0
978,68.0
979,69.0
980,72.0
981,74.0
982,72.0
983,27.0
984,33.0
985,40.0
986,49.0
987,51.0
988,57.0
989,62.0
990,18.0
991,21.0
992,21.0
993,21.0
994,22.0
995,22.0
996,22.0
997,23.0
998,23.0
999,23.0
1000,23.0
1001,25.0
1002,25.0
1003,26.0
1004,27.0
1005,28.0
1006,29.0
1007,29.0
1008,32.0
1009,35.0
1010,36.0
1011,36.0
1012,38.0
1013,39.0
1014,39.0
1015,42.0
1016,43.0
1017,45.0
1018,46.0
1019,46.0
1020,47.0
1021,49.0
1022,50.0
1023,50.0
1024,50.0
1025,51.0
1026,51.0
1027,52.0
1028,52.0
1029,52.0
1030,53.0
1031,53.0
1032,54.0
1033,54.0
1034,54.0
1035,55.0
1036,55.0
1037,55.0
1038,56.0
1039,57.0
1040,57.0
1041,57.0
1042,58.0
1043,59.0
1044,59.0
1045,59.0
1046,59.0
1047,59.0
1048,61.0
1049,61.0
1050,61.0
1051,61.0
1052,61.0
1053,62.0
1054,63.0
1055,63.0
1056,63.0
1057,63.0
1058,64.0
1059,64.0
1060,64.0
