date,correlation
2022-02-10,0.863266507503911
2022-02-11,0.8497814091312244
2022-02-14,0.843461106514499
2022-02-15,0.845914477245292
2022-02-16,0.8435702831947639
2022-02-17,0.8408968880896568
2022-02-18,0.8380805687069596
2022-02-22,0.8364623190567908
2022-02-23,0.8432280727876538
2022-02-24,0.8588050241742013
2022-02-25,0.8708415225430182
2022-02-28,0.8772315601603469
2022-03-01,0.8797904663185978
2022-03-02,0.8784653316585473
2022-03-03,0.8784468500157439
2022-03-04,0.8753518117567111
2022-03-07,0.8698108183191897
2022-03-08,0.8681013330717171
2022-03-09,0.8685540419979473
2022-03-10,0.8771104336353338
2022-03-11,0.8902959855089445
2022-03-14,0.8964313584368667
2022-03-15,0.9039908942603213
2022-03-16,0.9125911984986398
2022-03-17,0.9229542776802254
