DATE,close
2021-11-16,10.8
2021-11-17,10.73
2021-11-18,9.49
2021-11-19,9.58
2021-11-22,9.04
2021-11-23,8.83
2021-11-24,9.02
2021-11-26,8.75
2021-11-29,8.64
2021-11-30,8.56
2021-12-01,7.8
2021-12-02,8.09
2021-12-03,7.5
2021-12-06,7.63
2021-12-07,7.97
2021-12-08,8.26
2021-12-09,8.17
2021-12-10,8.05
2021-12-13,8.5
2021-12-14,8.0
2021-12-15,7.99
2021-12-16,7.85
2021-12-17,7.71
2021-12-20,7.05
2021-12-21,7.56
2021-12-22,7.6
2021-12-23,7.52
2021-12-27,7.49
2021-12-28,7.32
2021-12-29,7.17
2021-12-30,7.49
2021-12-31,7.56
2022-01-03,7.67
2022-01-04,7.07
2022-01-05,6.5
2022-01-06,6.38
2022-01-07,6.81
2022-01-10,6.57
2022-01-11,6.71
2022-01-12,6.61
2022-01-13,6.08
2022-01-14,5.13
2022-01-18,4.75
2022-01-19,4.46
2022-01-20,4.38
2022-01-21,4.11
2022-01-24,4.18
2022-01-25,3.99
2022-01-26,3.96
2022-01-27,3.63
2022-01-28,3.74
2022-01-31,4.22
2022-02-01,4.21
2022-02-02,4.05
2022-02-03,3.71
2022-02-04,3.76
2022-02-07,3.71
2022-02-08,3.86
2022-02-09,4.22
2022-02-10,3.98
2022-02-11,3.72
2022-02-14,3.81
2022-02-15,4.26
2022-02-16,4.21
2022-02-17,3.92
2022-02-18,3.84
2022-02-22,3.6
2022-02-23,3.52
2022-02-24,4.16
2022-02-25,4.3
2022-02-28,4.71
2022-03-01,4.64
2022-03-02,4.49
2022-03-03,4.69
2022-03-04,4.2
2022-03-07,4.675
2022-03-08,5.32
2022-03-09,5.65
2022-03-10,5.63
2022-03-11,5.44
2022-03-14,4.95
2022-03-15,5.62
2022-03-16,6.27
2022-03-17,6.64
2022-03-18,6.49
2022-03-21,6.52
2022-03-22,6.34
2022-03-23,6.15
2022-03-24,6.45
2022-03-25,6.09
2022-03-28,5.85
2022-03-29,5.33
2022-03-30,4.97
2022-03-31,4.93
2022-04-01,5.13
2022-04-04,5.35
2022-04-05,4.92
2022-04-06,4.89
2022-04-07,4.625
2022-04-08,3.96
2022-04-11,3.93
2022-04-12,3.76
2022-04-13,3.79
2022-04-14,3.59
2022-04-18,3.45
2022-04-19,3.43
2022-04-20,3.21
2022-04-21,2.99
2022-04-22,3.03
2022-04-25,3.09
2022-04-26,2.92
2022-04-27,2.86
2022-04-28,2.94
2022-04-29,2.8
2022-05-02,3.08
2022-05-03,3.54
2022-05-04,3.81
2022-05-05,3.66
2022-05-06,3.65
2022-05-09,3.29
2022-05-10,2.87
2022-05-11,2.83
2022-05-12,2.8
2022-05-13,3.24
2022-05-16,2.96
2022-05-17,3.46
2022-05-18,3.79
2022-05-19,4.14
2022-05-20,3.83
